STATE = 4	09:45	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1497.819946	Pb = 715.959961	Plsec = 843.750000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 2.843750	Uac = 235.000000
STATE = 4	09:45	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1497.819946	Pb = 709.739990	Plsec = 781.250000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 2.843750	Uac = 235.000000
STATE = 4	09:45	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1497.819946	Pb = 709.739990	Plsec = 843.750000	Ibat = -11.000000	Ubat = 59.906250	Iac_in = 0.515625	Uac = 235.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1497.819946	Pb = 709.739990	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.906250	Iac_in = 0.265625	Uac = 236.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 709.739990	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 235.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 699.309937	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 235.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 699.309937	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.906250	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 699.309937	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:46	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 699.309937	Plsec = 796.875000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 788.079956	Ppv = 1487.389893	Pb = 699.309937	Plsec = 843.750000	Ibat = -12.000000	Ubat = 59.812500	Iac_in = 0.515625	Uac = 236.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 684.999939	Ppv = 1487.389893	Pb = 802.389954	Plsec = 796.875000	Ibat = -1.000000	Ubat = 59.812500	Iac_in = 2.328125	Uac = 236.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 391.239990	Ppv = 1475.659912	Pb = 790.659973	Plsec = 734.375000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 1.296875	Uac = 235.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 657.549988	Ppv = 1475.659912	Pb = 1084.419922	Plsec = 421.875000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 1.296875	Uac = 236.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 1207.799927	Ppv = 1475.659912	Pb = 818.109924	Plsec = 1031.250000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 4.125000	Uac = 235.000000
STATE = 4	09:47	 SOC = 511.984375	Ps = 0.000000	Pl = 1703.739990	Ppv = 1475.659912	Pb = 82.010010	Plsec = 1562.500000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 6.968750	Uac = 235.000000
STATE = 1	09:48	 SOC = 511.984375	Ps = -228.080078	Pl = 1703.739990	Ppv = 1475.659912	Pb = -228.080078	Plsec = 1687.500000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 6.968750	Uac = 235.000000
STATE = 1	09:48	 SOC = 511.984375	Ps = -228.080078	Pl = 1703.739990	Ppv = 1465.589966	Pb = -228.080078	Plsec = 1687.500000	Ibat = 0.000000	Ubat = 59.984375	Iac_in = 6.968750	Uac = 234.000000
STATE = 1	09:48	 SOC = 511.984375	Ps = -238.150024	Pl = 1816.489990	Ppv = 1465.589966	Pb = -238.150024	Plsec = 1703.125000	Ibat = -28.000000	Ubat = 59.812500	Iac_in = 0.781250	Uac = 235.000000
STATE = 1	09:48	 SOC = 511.984375	Ps = -350.900024	Pl = 1737.989990	Ppv = 1465.589966	Pb = -350.900024	Plsec = 1703.125000	Ibat = -29.000000	Ubat = 59.640625	Iac_in = 0.515625	Uac = 235.000000
